,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
208,209,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),92%,6.98,7.111,4096.0,32768.0,,,,89.02,55.27,,,89.79,,59.09,80.14
222,223,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),93%,6.979,7.11,8000.0,32768.0,,,,89.07,,,,92.19,,60.58,86.44
386,387,[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),99%,0.361,0.497,896.0,32768.0,,,,,,,,,,89.4,
73,74,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96%,,0.137,768.0,8192.0,45.68,39.12,28.37,49.39,40.81,-3.25,17.8,71.66,46.01,37.05,64.25
47,48,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),88%,0.062,0.159,640.0,40960.0,57.98,50.61,65.59,58.86,50.83,-3.39,23.05,76.02,60.34,54.08,70.1
352,353,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),99%,3.634,4.022,2560.0,32768.0,,,,,,,,,,78.57,
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),99%,6.946,7.567,4096.0,32768.0,70.58,61.69,80.89,74.0,57.65,10.06,28.66,86.4,65.63,70.88,81.08
196,197,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),99%,0.287,0.354,1024.0,128000.0,,,,88.8,58.81,,,90.39,,54.08,84.45
32,33,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),90%,1.307,1.54,8960.0,131072.0,56.53,49.96,58.56,56.69,49.71,0.21,21.84,78.47,61.37,52.84,69.91
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),99%,3.634,4.022,2560.0,32768.0,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.6,80.86
34,35,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),90%,7.719,7.85,4096.0,32768.0,56.29,49.58,57.84,57.29,40.8,1.04,18.63,78.94,63.82,56.72,71.1
354,355,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,,,,,,,,,,47.38,
244,245,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96%,0.11,0.149,768.0,8192.0,,,,73.14,,,,89.12,,50.57,83.97
277,278,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,0.113,0.212,768.0,8192.0,,,,66.34,43.62,,,65.02,73.52,,
30,31,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,,52.47,60.8,58.24,52.26,5.36,23.45,84.57,58.69,57.77,71.05
209,210,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),99%,3.611,4.0,2560.0,32768.0,,,,,,,,,,69.66,
20,21,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,6.98,7.111,4096.0,32768.0,60.9,53.92,70.0,60.02,51.84,0.16,24.55,80.29,64.19,59.44,74.79
192,193,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96%,6.526,7.069,3584.0,32768.0,,,,,,2.63,,,,66.48,
381,382,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),99%,7.122,7.667,3584.0,32768.0,,,,,,,,,,94.85,
